part01   zsh - The Z Shell, version 2.3.1, Part01/22
part02   zsh - The Z Shell, version 2.3.1, Part02/22
part03   zsh - The Z Shell, version 2.3.1, Part03/22
part04   zsh - The Z Shell, version 2.3.1, Part04/22
part05   zsh - The Z Shell, version 2.3.1, Part05/22
part06   zsh - The Z Shell, version 2.3.1, Part06/22
part07   zsh - The Z Shell, version 2.3.1, Part07/22
part08   zsh - The Z Shell, version 2.3.1, Part08/22
part09   zsh - The Z Shell, version 2.3.1, Part09/22
part10   zsh - The Z Shell, version 2.3.1, Part10/22
part11   zsh - The Z Shell, version 2.3.1, Part11/22
part12   zsh - The Z Shell, version 2.3.1, Part12/22
part13   zsh - The Z Shell, version 2.3.1, Part13/22
part14   zsh - The Z Shell, version 2.3.1, Part14/22
part15   zsh - The Z Shell, version 2.3.1, Part15/22
part16   zsh - The Z Shell, version 2.3.1, Part16/22
part17   zsh - The Z Shell, version 2.3.1, Part17/22
part18   zsh - The Z Shell, version 2.3.1, Part18/22
part19   zsh - The Z Shell, version 2.3.1, Part19/22
part20   zsh - The Z Shell, version 2.3.1, Part20/22
part21   zsh - The Z Shell, version 2.3.1, Part21/22
part22   zsh - The Z Shell, version 2.3.1, Part22/22
