INDEX.        
INDX38V1.07   Index for comp.sources.misc, Volume01 through Volume07 
INDX38V1.21   Index for comp.sources.misc, Volume15 through Volume21 
INDX38V2.27   Index for comp.sources.misc, Volume22 through Volume27 
INDX38V2.33   Index for comp.sources.misc, Volume28 through Volume33 
INDX38V3.37   Index for comp.sources.misc, Volume34 through Volume37 
INDX38V8.14   Index for comp.sources.misc, Volume08 through Volume14 
INTRO38.      Accessing the archives 
INTRO38.      Archive access via email 
INTRO38.      Archive access via ftp 
INTRO38.      Archive access via uucp 
INTRO38.      Becoming an archive site 
INTRO38.      Deciding where to post your software 
INTRO38.      Extracting a retrieved archive member 
INTRO38.      Guidelines for submitting source for publication 
INTRO38.      Introduction 
INTRO38.      Introduction to comp.sources.misc 
INTRO38.      Listing of archive sites in no particular order 
INTRO38.      Newsgroup Status Information. 
INTRO38.      Patches Handling 
INTRO38.      Reporting and tracking bugs. 
INTRO38.      Special services 
INTRO38.      The structure of comp.sources.misc articles 
PATCHLOG.38   Index of Patches posted to comp.sources.misc 
