part01   ncftp - Alternative User Interface for FTP, v1.5.0, Part01/05
part02   ncftp - Alternative User Interface for FTP, v1.5.0, Part02/05
part03   ncftp - Alternative User Interface for FTP, v1.5.0, Part03/05
part04   ncftp - Alternative User Interface for FTP, v1.5.0, Part04/05
part05   ncftp - Alternative User Interface for FTP, v1.5.0, Part05/05
patch01   ncftp - Alternative User Interface for FTP, v1.5.0, Patch01
patch02   ncftp - Alternative User Interface for FTP, v1.5.0, Patch02
patch03   ncftp - Alternative User Interface for FTP, v1.5.0, Patch03
patch04   ncftp - Alternative User Interface for FTP, v1.5.0, Patch04
patch05   ncftp - Alternative User Interface for FTP, v1.5, Patch05
patch06   ncftp - Alternative User Interface for FTP, v1.5, Patch06
