cputt   cputt - monitor top ten (by cpu time) processes on SunOS
hostcvt.pch   hostcvt - convert /etc/hosts files into DNS zone files, Patch02
idutil   idutil - command-line i'face to cuserid(3), getpwnam(3), &etc
index26.1   Accessing the archives
index26.1   Becoming an archive site
index26.1   Distribution and Copyrights
index26.1   Introduction to comp.sources.unix
index26.1   Listing of archive sites in no particular order
index26.1   Reporting and tracking bugs and patches to postings
index26.1   Submitting source for publication
index26.1   The structure of comp.sources.unix articles
index26.2   List of sources in the archives
index26.2   Volume 1 (Ends June 1985)
index26.2   Volume 10 (June 17, 1987 to August 10, 1987)
index26.2   Volume 11 (August 11, 1987 to October 6, 1987)
index26.2   Volume 12 (Ends February, 1988)
index26.2   Volume 13 (Ends early March, 1988)
index26.2   Volume 14 (Ends May 20, 1988)
index26.2   Volume 15 (Ends August 12, 1988)
index26.2   Volume 16 (Ends January 17, 1989)
index26.2   Volume 17 (Ends March 1, 1989)
index26.2   Volume 18 (Ends May 30, 1989)
index26.2   Volume 19 (Ends June 30, 1989)
index26.2   Volume 2 (End roughly August, 1985)
index26.2   Volume 20 (Ends February 6, 1990)
index26.2   Volume 21 (Ends April 30, 1990)
index26.2   Volume 22 (Ends July 13, 1990)
index26.2   Volume 23 (Ends February 20, 1991)
index26.2   Volume 24 (Ends October 10, 1991)
index26.2   Volume 25 (Ends April 10, 1992)
index26.2   Volume 3 (Ends Feburary, 1986)
index26.2   Volume 4 (Ends early May, 1986)
index26.2   Volume 5 (Ends late May, 1986)
index26.2   Volume 6 (Ends mid-July, 1986)
index26.2   Volume 7 (Ends January 20, 1987)
index26.2   Volume 8 (January 26, 1987 to March 3, 1987)
index26.2   Volume 9 (March 3, 1987 to June 16, 1987 <great renaming>)
index26.3   Future plans for comp.sources.unix
line3d   line3d - 3D Bresenham's (a 3D line drawing algorithm)
lmdd   lmdd - Trivial disk I/O performance tester - like dd
munetd   munetd - a more universal network superserver
newmail.pch   newmail - utility to check for new mail, Patch01
perfmon   perfmon - line- and screen-oriented interface to rstatd(8)
pr2   pr2 - a simple page formatter similar to `pr'
ptyshl   ptyshl - shell layers via pseudo-ttys
setdpch.1   setd V1.7 -- Set Directory and Mark Utilities, Patch01
socket   socket - shell-level interface to IP/TCP sockets (V1.1)
super   super - execute limited command set as root
tpage2   tpage2 - tom's utilities for alphanumeric pagers (V2.0)
uuhost_2.1   uuhost - lookup UUCP mail and USENET information
v26inf4   Why moderating comp.sources.unix is difficult and slow
