part01   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part01/16
part02   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part02/16
part03   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part03/16
part04   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part04/16
part05   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part05/16
part06   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part06/16
part07   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part07/16
part08   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part08/16
part09   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part09/16
part10   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part10/16
part11   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part11/16
part12   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part12/16
part13   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part13/16
part14   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part14/16
part15   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part15/16
part16   veos-2.0 - The Virtual Environment Operating Shell, V2.0, Part16/16
