INDEX.        
INDX19V1.08   Index for comp.sources.x, Volume01 through Volume08 
INDX19V1.18   Index for comp.sources.x, Volume17 through Volume18 
INDX19V9.16   Index for comp.sources.x, Volume09 through Volume16 
INTRO19.      Accessing the archives 
INTRO19.      Editorial comments 
INTRO19.      Guidelines 
INTRO19.      Introduction to comp.sources.x 
INTRO19.      Listing of archive sites in no particular order 
INTRO19.      Patches Handling 
INTRO19.      Reporting and tracking bugs. 
INTRO19.      Submitting source for publication 
INTRO19.      The structure of comp.sources.x articles 
MITPATCH.24   X11R5 public fix #24 available 
PATCHLOG.19   Index of Patches posted to comp.sources.x 
