alexander alex
andrew andy
anthony tony
barbara barb
benjamin ben
bradley brad
calvin cal
carolyn carol
catherine cathy
christine chris
christopher chris
daniel dan
david dave
deborah deb
donald don
douglas doug
edward ed
elizabeth beth
eugene gene
franklin frank
frederick fred
geoffrey geoff
gerald jerry
gregory greg
jacqueline jackie
james jim
janice jan
jeffery jeff
jeffrey jeff
jennifer jenny
jonathan jon
joseph joe
joshua josh
judith judy
katherine kathy
kathleen kathy
kathryn kathy
kenneth ken
kimberley kim
kimberly kim
laurence larry
lawrence larry
leonard len
matthew matt
michael mike
nicholas nick
pamela pam
patrick pat
philip phil
phillip phil
randall randy
raymond ray
richard rich rick dick
robert rob bob
ronald ron
russel russ
russell russ
samuel sam
sandra sandy
st saint
stanley stan
stephen steve
steven steve
stuart stu
thomas tom
timothy tim
victoria vicky
walter walt
william will bill
# local nicknames
alphonse al
berlanti lola
leah lavone
phuong larry
