adjust   Text line adjuster
ansi_c.txt   ANSI C draft yacc grammar
cal.c   cal.c for Unix and MSDOS (with uuencoded .EXE)
cplspls.txt   C++ Lexical Scanner (in C++)
cpp_elif.txt   Patch to 4.2 /lib/cpp for #elif, and C++ style // comments
crc   general, fast crc algorithm
date   New Date Program...
fastsort   A faster sort
index
latex_1.idx   LaTeX Index Processor (Part 1)
latex_2.idx   LaTeX Index Processor (Part 2)
lng_bars.txt   Liang-Barsky Polygon Clipping (2 C versions)
mailmrge   Quicky "mail-merge" program
markov   Revised and improved markov3, a Usenet article generator
newsbtch   Never blow a spool area again!
pascal2c   new Pascal to C translator
pascal2c.1   ptoc.c
pascal2c.2   ptoc.man
prep.1   fortran preprocessor, part 1/2
prep.2   fortran preprocessor, part 2/2
pswd_age.1   Password aging package for 4.3BSD Part 1 of 3.
pswd_age.2   Password aging package for 4.3BSD Part 2 of 3.
pswd_age.3   Password aging package for 4.3BSD  Part 3 of 3.
pthcprn   Pathprune (to shorten pathalias files)
qptol   qptol - convert QMS portrait to landscape
raytrace   one more time... ray tracing
raytrace.1   tracer addenda (1 of 2)
raytrace.2   tracer addenda (2 of 2)
refer.mac   refer macro package
sysvloa.dav   A load average daemon for System V.2
talk_sys.5   Talk for Sys V
tiny_tcp   TINYTCP-public domain tcp/ip implementation
v7_expr   expr(1) source
v7_test   source for test(1)
vcal   visual calendar and activities programs, part 1
vcal.1   vcal and friends  Rev. 2.0  Part 1
vcal.2   vcal and friends  Rev 2.0  Part 2
vcal.2   visual calendar and activities programs, part 2
vcal.bug   vcal fix Rev. 2.1
vms.tar   Reading TAR from VMS
wp   wp - a programmers text & comment formatter
