ADJUST.       Text line adjuster 
ANSI_C.TXT    ANSI C draft yacc grammar 
CAL.C         cal.c for Unix and MSDOS (with uuencoded .EXE) 
CPLSPLS.TXT   C++ Lexical Scanner (in C++) 
CPP_ELIF.TXT  Patch to 4.2 /lib/cpp for #elif, and C++ style // comments 
CRC.          general, fast crc algorithm 
DATE.         New Date Program... 
FASTSORT.     A faster sort 
INDEX.        
LATEX_1.IDX   LaTeX Index Processor (Part 1) 
LATEX_2.IDX   LaTeX Index Processor (Part 2) 
LNG_BARS.TXT  Liang-Barsky Polygon Clipping (2 C versions) 
MAILMRGE.     Quicky "mail-merge" program 
MARKOV.       Revised and improved markov3, a Usenet article generator 
NEWSBTCH.     Never blow a spool area again! 
PASCAL2C.     new Pascal to C translator 
PASCAL2C.1    ptoc.c 
PASCAL2C.2    ptoc.man 
PREP.1        fortran preprocessor, part 1/2 
PREP.2        fortran preprocessor, part 2/2 
PSWD_AGE.1    Password aging package for 4.3BSD Part 1 of 3. 
PSWD_AGE.2    Password aging package for 4.3BSD Part 2 of 3. 
PSWD_AGE.3    Password aging package for 4.3BSD  Part 3 of 3. 
PTHCPRN.      Pathprune (to shorten pathalias files) 
QPTOL.        qptol - convert QMS portrait to landscape 
RAYTRACE.     one more time... ray tracing 
RAYTRACE.1    tracer addenda (1 of 2) 
RAYTRACE.2    tracer addenda (2 of 2) 
REFER.MAC     refer macro package 
SYSVLOA.DAV   A load average daemon for System V.2 
TALK_SYS.5    Talk for Sys V 
TINY_TCP.     TINYTCP-public domain tcp/ip implementation 
V7_EXPR.      expr(1) source 
V7_TEST.      source for test(1) 
VCAL.         visual calendar and activities programs, part 1 
VCAL.1        vcal and friends  Rev. 2.0  Part 1 
VCAL.2        vcal and friends  Rev 2.0  Part 2 
VCAL.2        visual calendar and activities programs, part 2 
VCAL.BUG      vcal fix Rev. 2.1 
VMS.TAR       Reading TAR from VMS 
WP.           wp - a programmers text & comment formatter 
